Call Center ID,Operator Name,Issue Type,Response Time (mins),Call Time and Date,Number of Calls Daily
8079c659-ae22-4046-b01f-b1107fd78723,Cynthia Freeman,Complaint,25,2024-03-29 00:00:00.875254,1686
c366461f-b4a9-4dd9-9c0b-438c1e054d01,Cameron Cordova,Transport Query,3,2024-03-03 00:00:00.063236,1490
687ada65-58cf-4f6b-bc45-9aacfb55d1ba,Jeffrey Harding,Toll Issue,11,2024-03-08 00:00:00.321522,1654
0b7bd9ff-9f1b-4f9f-a9bf-f5bbd63802b2,Julia Jones,Complaint,13,2024-06-22 00:00:00.235001,1280
00aaf6c5-09d4-493d-bcf0-261e3c157683,Susan Turner,Complaint,12,2024-03-22 00:00:00.050678,1491
a5323372-7fd5-4712-897b-ad1f1bedc4cf,Jon Ward,Accident,8,2024-02-09 00:00:00.319646,1632
e8a573c3-f507-43b9-bbef-9c09c7814961,Jonathan Hopkins,Road Block,18,2024-05-05 00:00:00.449539,1992
cafaac58-3b09-448d-b308-91c795a08889,Samantha Holland,Traffic Signal Fault,6,2024-06-20 00:00:00.371245,1903
c7c4194f-55f5-4826-91ec-bed338b7414e,Stacey Lambert,Complaint,3,2024-01-23 00:00:00.002151,1688
8cfea11d-0e09-4004-b725-f09fd314759d,Carrie Quinn,Transport Query,2,2024-02-21 00:00:00.426708,1036
047f8659-b125-45d9-9f45-5ba88d30b0aa,Nancy Dawson,Traffic Signal Fault,30,2024-02-09 00:00:00.152900,1632
ca26022e-f9eb-4f89-bb4b-51fe6ebf03a7,Cameron Cordova,Complaint,26,2024-03-18 00:00:00.650195,1052
4c35725c-93cb-441b-aafd-366df46b5691,Sean Harvey,Traffic Signal Fault,20,2024-04-10 00:00:00.915340,1646
3bf70543-e20e-469e-bbee-fb69815bfab8,Jerry Johnson,Traffic Signal Fault,22,2024-04-26 00:00:00.130528,1889
ae934b2a-e6ab-47cd-b137-03fe9c9c4a57,Jason Thompson,Toll Issue,25,2024-06-04 00:00:00.796025,1137
1ea5fe96-fbb2-49d5-9043-84f0cb536f68,Cynthia Freeman,Traffic Signal Fault,6,2024-02-09 00:00:00.384781,1632
31abb7ba-7c1d-466a-938c-a6de6680fb17,Jessica Nunez,Traffic Signal Fault,11,2024-03-08 00:00:00.700902,1654
93290957-7cc1-4cd1-ab81-35265f790b84,Michael Gonzalez,Toll Issue,30,2024-03-29 00:00:00.793782,1686
66841a97-5ea1-43ba-bd8b-4816470d03fd,Jessica Nunez,Toll Issue,18,2024-03-24 00:00:00.279373,1503
c84359c0-ab3f-47aa-a02d-dbf8135418dc,Ralph David,Road Block,20,2024-01-03 00:00:00.493823,1459
8cbc9284-442a-4d3a-ad12-335f1a763fd0,Kimberly Reid,Toll Issue,13,2024-02-09 00:00:00.582654,1632
116dcd91-86ec-409c-be8f-72b66d485bff,Mary Allen,Complaint,6,2024-05-05 00:00:00.190983,1992
d863c00f-4504-43e1-a056-65bd0c24fd53,Anna Parsons,Road Block,19,2024-03-08 00:00:00.762272,1654
731a8e7a-954c-4c96-9d11-1029e5cc6aa3,Robert Bell,Traffic Signal Fault,28,2024-01-21 00:00:00.308434,1675
bea17345-c863-49c1-a100-39ebc244afbf,Andrew Boyer,Toll Issue,17,2024-06-03 00:00:00.149984,1745
ce839640-cc97-440d-a046-0797f66296a8,Robert Bell,Accident,27,2024-06-20 00:00:00.306834,1903
f2aec6f5-2a76-4268-a910-c876d6228252,Joseph Gray,Road Block,19,2024-04-10 00:00:00.356783,1646
02c5687e-0d47-4772-a6e9-1d2058539541,Dean Young,Complaint,29,2024-04-26 00:00:00.478130,1889
4e80fbc2-789e-45ec-b2c8-5306f7cab164,Cynthia Freeman,Accident,13,2024-06-22 00:00:00.753941,1280
69b750e1-9bb5-45fe-9258-d9db4ccb999d,Shannon Simpson MD,Toll Issue,7,2024-03-03 00:00:00.637512,1490
ff5c995a-9413-4dcd-aded-3458d3c590e3,Joanne Allen,Transport Query,12,2024-05-05 00:00:00.260383,1992
1bffa876-dc9b-4a70-8dd2-36021ecc4136,Dean Young,Accident,18,2024-06-22 00:00:00.020692,1280
a9628876-ded5-42da-ae72-928088537182,Christine Christensen,Complaint,19,2024-01-09 00:00:00.496261,1869
f34eaf63-2116-47c8-b68b-38e89e3bdc89,Dean Young,Accident,25,2024-03-28 00:00:00.758141,1128
5be43b17-8f14-43ba-b0ae-9e5899b73f50,Carrie Quinn,Road Block,8,2024-03-08 00:00:00.933383,1654
a8db4f99-395f-4cb9-9343-4af3d9d5481d,Susan Turner,Traffic Signal Fault,20,2024-02-01 00:00:00.831937,1853
844993df-16d4-4f6a-b0c4-1735775d44d8,Krista Taylor,Road Block,20,2024-06-20 00:00:00.408854,1903
584dcda6-a11b-4b04-9817-8ed24d9effd1,Stephanie Ortega,Toll Issue,9,2024-02-29 00:00:00.244533,1246
66a91397-873d-4670-8913-3fe20e00a154,Kenneth Wells,Toll Issue,12,2024-02-01 00:00:00.603521,1853
87827bed-510e-4d08-a3cd-c422215e242f,Krista Taylor,Traffic Signal Fault,27,2024-04-26 00:00:00.998647,1889
ba6cd7c2-16a3-4d3e-b301-f44815704963,Kimberly Reid,Complaint,27,2024-03-08 00:00:00.147009,1654
3a47e749-f564-45d9-b098-9a5fd23827c0,Susan Turner,Road Block,9,2024-03-22 00:00:00.670468,1491
f56eeafa-bec9-4bbc-beef-e7b382db3801,Jerry Johnson,Transport Query,29,2024-04-26 00:00:00.870294,1889
a6296f21-5c24-4e98-8d80-cdae819795a5,Matthew Robinson,Complaint,20,2024-06-20 00:00:00.388911,1903
182fa873-2a5d-4afe-8952-c8ff265e0340,Richard Pugh,Road Block,7,2024-04-10 00:00:00.843860,1646
6c5f1de3-afbc-4360-b0cc-6a35b6c09911,Julia Jones,Transport Query,22,2024-01-06 00:00:00.309728,1026
d4673556-7830-4c9d-b12c-bf4c53d7d93a,Andrew Boyer,Complaint,27,2024-01-21 00:00:00.790894,1675
70301952-ed01-4c0b-8952-5b672cae8f08,Michael Gonzalez,Toll Issue,5,2024-02-21 00:00:00.494376,1036
31200ea5-9dd3-4ddd-b017-a6b1a22b0da4,Richard Pugh,Traffic Signal Fault,1,2024-01-03 00:00:00.783973,1459
27bf3d78-b6d7-43d8-a6c0-fde694c031ad,Jerry Johnson,Traffic Signal Fault,6,2024-01-09 00:00:00.146820,1869
ee5d31f6-d4b5-44bd-8d5d-e1d74f8b4698,Benjamin Hammond,Traffic Signal Fault,17,2024-06-04 00:00:00.690855,1137
e7269b69-c459-42aa-bcad-a09500d7fa36,Michael Gonzalez,Toll Issue,2,2024-04-10 00:00:00.265726,1646
ccdeaa31-7dad-47a4-bc93-92c2e07a7198,Keith Preston,Traffic Signal Fault,26,2024-03-29 00:00:00.651889,1686
0ff1f27d-648b-488d-b39a-3788059a8485,Ralph David,Toll Issue,10,2024-03-28 00:00:00.808123,1128
cb24ea4d-a009-4b2a-aa99-013de7ab4c7f,Susan Turner,Toll Issue,7,2024-03-28 00:00:00.524849,1128
7d303ae4-f4a7-4b6c-af33-6d20026ef027,Kristen Montoya,Complaint,21,2024-03-03 00:00:00.597921,1490
5020eab1-549e-4ebb-8bd9-63aa22567ea5,David Price,Complaint,19,2024-04-10 00:00:00.514596,1646
06665cf7-4f05-4a85-b640-fe5e68189b38,Joseph Gray,Road Block,2,2024-06-03 00:00:00.065292,1745
4cad181b-b0ed-441f-b895-7e05a0c04d50,Matthew Keller,Traffic Signal Fault,18,2024-01-31 00:00:00.175137,1559
8a2894a1-5f5a-492b-a9bc-8bc7b320ebf7,Matthew Robinson,Road Block,15,2024-01-09 00:00:00.667459,1869
4e1210aa-98cd-4144-b426-ebd69359ee7c,Andrew Boyer,Complaint,24,2024-06-03 00:00:00.320534,1745
265f3f27-0cd1-4892-b99b-68345b5b75be,Robert Bell,Complaint,11,2024-01-14 00:00:00.396416,1090
ab2e066f-044c-45b0-841a-53f82ff74398,Joanne Allen,Accident,25,2024-04-10 00:00:00.680138,1646
d33c2135-8209-46e0-bad8-dcb244b8c7d4,Kristina Werner,Traffic Signal Fault,10,2024-03-22 00:00:00.251609,1491
f70fd810-cb8c-4295-bc8e-b2c785b5d65c,Joseph Roberts,Traffic Signal Fault,30,2024-01-14 00:00:00.465063,1090
084774c5-5e8f-41b9-a33a-af38f559e119,Joseph Roberts,Complaint,3,2024-04-26 00:00:00.980848,1889
6b1ee21c-5923-4c52-9a6d-702e45a8cb87,Matthew Keller,Transport Query,21,2024-04-26 00:00:00.723639,1889
f401a567-d07d-4c6e-917f-0ba11963f49f,Cynthia Freeman,Road Block,6,2024-02-01 00:00:00.535574,1853
d97d7eee-011a-44b8-9a13-ca0f4a2482c4,Mary Allen,Road Block,19,2024-01-09 00:00:00.526238,1869
d9eba92c-9919-4494-975f-a00016b85cbc,Joanne Allen,Transport Query,7,2024-06-03 00:00:00.988530,1745
5a31114e-b9b2-4e4a-b9f8-ec52b859b8d6,Jonathan Hopkins,Accident,25,2024-03-18 00:00:00.623610,1052
7771f043-439b-4d62-9e65-6731bc459062,Joanne Allen,Road Block,5,2024-01-23 00:00:00.319525,1688
d0dd7262-9a01-4aa3-8da9-d5736f428c6a,Christine Christensen,Road Block,8,2024-04-26 00:00:00.845565,1889
d84bc98c-4512-4796-a2b0-17c65f5acbf8,Stacey Lambert,Accident,12,2024-06-22 00:00:00.358643,1280
5128d1bf-60a3-4b5a-b215-f63b7f444072,Jon Ward,Road Block,8,2024-03-29 00:00:00.053589,1686
5ad45864-4a07-4920-91c7-eaed3db992d4,Robert Bell,Accident,29,2024-01-14 00:00:00.330585,1090
538a6573-c58e-499a-bcce-dcf10de030f6,Matthew Robinson,Accident,7,2024-02-21 00:00:00.071357,1036
3d3d1222-964e-4f23-9892-c591c4c7e515,Mr. Richard Robinson Jr.,Traffic Signal Fault,27,2024-03-22 00:00:00.700589,1491
4fffdacd-8866-4c25-a6d4-2d8c3151dc90,Robert Bell,Complaint,21,2024-01-09 00:00:00.924969,1869
a7ebeb27-87e0-4aa5-83ad-8e7fe4f4a3c7,Anna Parsons,Toll Issue,28,2024-06-03 00:00:00.595614,1745
0bc94d8c-8884-4579-8246-fae186cdf64b,Shannon Simpson MD,Traffic Signal Fault,24,2024-03-24 00:00:00.303631,1503
2899a494-24ba-4de0-9377-8508cd00c6d9,Ralph Horton,Accident,9,2024-06-20 00:00:00.086750,1903
9bb1fab5-faf3-452d-a49f-4bf8e0cbbf1e,Keith Durham,Complaint,7,2024-03-08 00:00:00.146416,1654
4829b700-8d08-40e4-8259-a557209ba97c,Stacey Lambert,Transport Query,14,2024-01-09 00:00:00.978515,1869
326b442b-99e5-4df8-9855-5a59b36ca2e2,Susan Turner,Complaint,26,2024-01-09 00:00:00.149411,1869
f471f32a-96e1-474a-aa01-34f223b807a7,Jeffrey Harding,Road Block,5,2024-04-26 00:00:00.230867,1889
c6e845dd-f3bb-4d9b-b5ab-f533a03345ba,Joanne Allen,Toll Issue,23,2024-03-08 00:00:00.760705,1654
1a72c1a2-9be7-4eec-b46a-2a7692ec0218,Julia Jones,Accident,1,2024-06-20 00:00:00.673863,1903
3c1e4971-e8ad-4fce-a0ec-9a88967857eb,Cameron Cordova,Road Block,6,2024-04-10 00:00:00.742715,1646
4c67377d-972b-44f0-994b-52717c108c85,Jeffrey Harding,Toll Issue,15,2024-02-01 00:00:00.093785,1853
951c75c3-e696-4d75-9279-7a95cda6ffa9,Jennifer Stanley,Toll Issue,13,2024-04-26 00:00:00.443779,1889
